Date Reported As Of,Description,Current Phase,Design Start,Forecast Completion
03/2018,"Combined Sewer and Watermain replacement in Penelope Ave between 71st St and 74th Street, Queens",Construction,03/25/2013,06/02/2018
08/2018,"Combined Sewer and Watermain replacement in Penelope Ave between 71st St and 74th Street, Queens",Construction,03/25/2013,05/21/2019
01/2019,"Combined Sewer and Watermain replacement in Penelope Ave between 71st St and 74th Street, Queens",Construction,03/25/2013,05/21/2019
05/2019,Construction of Combined Sewer and Water Main together with all work incidental thereto in the Borough of Queens:    COMBINED SEWER IN:    (1) Penelope Avenue b/t 71st Street and 74th Street.  (2) 74th Street b/t Juniper Blvd. and Juniper Valley Road.  (3) Juniper Valley Road b/t 74th Street and 77th Street.  (4) 75th Street b/t Juniper Valley Road and 66th Drive.  (5) 66th Road b/t Gray Street an 77th Street.  (7) 77th Street b/t 66th Road and Gray Street.    WATER MAIN IN:    (1) Juniper Valley Road b/t 75th Street and 77th Street.  (2) Gray Street b/t 66th Street and Juniper Valley Road.  (3)  77th Street. Street  b/t 66th Road and Juniper Valley Road.,Construction,03/25/2013,12/28/2019
09/2019,Construction of Combined Sewer and Water Main together with all work incidental thereto in the Borough of Queens:    COMBINED SEWER IN:    (1) Penelope Avenue b/t 71st Street and 74th Street.  (2) 74th Street b/t Juniper Blvd. and Juniper Valley Road.  (3) Juniper Valley Road b/t 74th Street and 77th Street.  (4) 75th Street b/t Juniper Valley Road and 66th Drive.  (5) 66th Road b/t Gray Street an 77th Street.  (7) 77th Street b/t 66th Road and Gray Street.    WATER MAIN IN:    (1) Juniper Valley Road b/t 75th Street and 77th Street.  (2) Gray Street b/t 66th Street and Juniper Valley Road.  (3)  77th Street. Street  b/t 66th Road and Juniper Valley Road.,Construction,03/25/2013,12/28/2019
09/2017,"Replacement and extension of Storm, Sanitary sewers and Water Mains work in Keegans Lane, Greencroft Avenue, Mansion Avenue and Eagan Avenue etc…",Design,04/27/2017,05/07/2022
03/2018,"Replacement and extension of Storm, Sanitary sewers and Water Mains work in Keegans Lane, Greencroft Avenue, Mansion Avenue and Eagan Avenue etc…",Design,04/27/2017,07/07/2022
08/2018,"Replacement and extension of Storm, Sanitary sewers and Water Mains work in Keegans Lane, Greencroft Avenue, Mansion Avenue and Eagan Avenue etc…",Design,04/27/2017,10/06/2022
01/2019,"Replacement and extension of Storm, Sanitary sewers and Water Mains work in Keegans Lane, Greencroft Avenue, Mansion Avenue and Eagan Avenue etc…",Construction Procurement,04/27/2017,09/17/2021
05/2019,"NEW STORM AND SANITARY SEWERS IN EAGAN AVENUE, KEEGANS LANE, CRANFORD STREET AND GREENCROFT AVENUE, STATEN ISLAND",Construction Procurement,04/27/2015,09/14/2021
09/2019,"NEW STORM AND SANITARY SEWERS IN EAGAN AVENUE, KEEGANS LANE, CRANFORD STREET AND GREENCROFT AVENUE, STATEN ISLAND",Construction Procurement,04/27/2015,12/14/2021
09/2017,"New Strom Sewer extension & Water Main replacement in Acacia Ave., New Storm Sewer extension in Holly Ave. and Armstrong Ave., New Storm & Sanitary Sewer Extension & Water Main replacement in Oakdale Street",Construction Procurement,12/02/2014,05/07/2020
03/2018,"New Strom Sewer extension & Water Main replacement in Acacia Ave., New Storm Sewer extension in Holly Ave. and Armstrong Ave., New Storm & Sanitary Sewer Extension & Water Main replacement in Oakdale Street",Construction,12/02/2014,06/11/2020
08/2018,"New Strom Sewer extension & Water Main replacement in Acacia Ave., New Storm Sewer extension in Holly Ave. and Armstrong Ave., New Storm & Sanitary Sewer Extension & Water Main replacement in Oakdale Street",Construction,12/02/2014,06/11/2020
01/2019,"New Strom Sewer extension & Water Main replacement in Acacia Ave., New Storm Sewer extension in Holly Ave. and Armstrong Ave., New Storm & Sanitary Sewer Extension & Water Main replacement in Oakdale Street",Construction,12/02/2014,06/11/2020
05/2019,"Construction of sanitary and storm sewers, water mains and appurtenances in Acacia Avenue and vicinity. In addition, Best Management Practice structures (BMP's WDP-1, 2, 3 & 4) will be built under this project, which will serve as storm sewer outlet.",Construction,12/02/2014,06/11/2020
09/2019,"Construction of sanitary and storm sewers, water mains and appurtenances in Acacia Avenue and vicinity. In addition, Best Management Practice structures (BMP's WDP-1, 2, 3 & 4) will be built under this project, which will serve as storm sewer outlet.",Construction,12/02/2014,06/11/2020
09/2017,"Design and construction of new adminstration wing to replace existing administration wing, new parking, provide new inspection lane within the inspection facility.",Design,09/15/2015,11/30/2022
03/2018,"Design and construction of new adminstration wing to replace existing administration wing, new parking, provide new inspection lane within the inspection facility.",Design,09/15/2015,11/30/2022
08/2018,"Design and construction of new adminstration wing to replace existing administration wing, new parking, provide new inspection lane within the inspection facility.",Design,09/15/2015,07/02/2023
01/2019,"Design and construction of new adminstration wing to replace existing administration wing, new parking, provide new inspection lane within the inspection facility.",Design,09/15/2015,10/15/2023
05/2019,Replace existing administration wing; provide new parking and new inspection lane within the facility.,Design,09/15/2015,01/28/2024
09/2019,Replace existing administration wing; provide new parking and new inspection lane within the facility.,Construction Procurement,09/15/2015,02/18/2024
09/2017,"Cleaning and Inspection of CTN3, Stage 2 in Queens and Brooklyn",Construction,05/10/2016,08/28/2018
03/2018,"Cleaning and Inspection of CTN3, Stage 2 in Queens and Brooklyn",Construction,05/10/2016,08/28/2018
08/2018,"Cleaning and Inspection of CTN3, Stage 2 in Queens and Brooklyn",Construction,05/10/2016,01/17/2019
01/2019,"Cleaning and Inspection of CTN3, Stage 2 in Queens and Brooklyn",Construction,05/10/2016,03/30/2020
05/2019,"Cleaning and Inspection of CTN3, Stage 2 in Queens and Brooklyn",Construction,05/10/2016,03/30/2021
09/2019,"Cleaning and Inspection of CTN3, Stage 2 in Queens and Brooklyn",Construction,05/10/2016,03/30/2021
01/2020,"Cleaning and Inspection of CTN3, Stage 2 in Queens and Brooklyn",Construction,05/10/2016,03/30/2020
05/2020,"Cleaning and Inspection of CTN3, Stage 2 in Queens and Brooklyn",Construction,05/10/2016,03/16/2022
10/2020,"Cleaning and Inspection of CTN3, Stage 2 in Queens and Brooklyn",Construction,05/10/2016,03/16/2022
03/2021,"Cleaning and Inspection of CTN3, Stage 2 in Queens and Brooklyn",Construction,05/10/2016,03/16/2022
05/2019,"Reconstruction of Aqueduct structures; Replacement of mechanical equipment; cleaning the aqueduct interior & rehabilitation & repair of cracks & leaks. All relevent assessments, investigations, piloting, plans and reports.",Design,04/15/2019,06/01/2025
09/2019,"Reconstruction of Aqueduct structures; Replacement of mechanical equipment; cleaning the aqueduct interior & rehabilitation & repair of cracks & leaks. All relevent assessments, investigations, piloting, plans and reports.",Design,04/15/2019,06/01/2025
01/2020,"Reconstruction of Aqueduct structures; Replacement of mechanical equipment; cleaning the aqueduct interior & rehabilitation & repair of cracks & leaks. All relevent assessments, investigations, piloting, plans and reports.",Design,04/15/2019,06/01/2025
05/2020,"Reconstruction of Aqueduct structures; Replacement of mechanical equipment; cleaning the aqueduct interior & rehabilitation & repair of cracks & leaks. All relevent assessments, investigations, piloting, plans and reports.",Design,04/15/2019,06/01/2025
10/2020,"Reconstruction of Aqueduct structures; Replacement of mechanical equipment; cleaning the aqueduct interior & rehabilitation & repair of cracks & leaks. All relevent assessments, investigations, piloting, plans and reports.",Design,04/15/2019,03/29/2027
03/2021,"Reconstruction of Aqueduct structures; Replacement of mechanical equipment; cleaning the aqueduct interior & rehabilitation & repair of cracks & leaks. All relevent assessments, investigations, piloting, plans and reports.",Design,04/15/2019,03/29/2027
09/2017,This project will provide armoring of the Kensico Reservoir shoreline near Delaware Aqueduct Shaft 18 to limit shoreline erosion and protect the intake from elevated turbidity levels.,Construction Procurement,01/29/2015,12/28/2020
03/2018,This project will provide armoring of the Kensico Reservoir shoreline near Delaware Aqueduct Shaft 18 to limit shoreline erosion and protect the intake from elevated turbidity levels.,Construction Procurement,01/29/2015,12/28/2020
08/2018,This project will provide armoring of the Kensico Reservoir shoreline near Delaware Aqueduct Shaft 18 to limit shoreline erosion and protect the intake from elevated turbidity levels.,Construction,01/29/2015,05/08/2022
01/2019,This project will provide armoring of the Kensico Reservoir shoreline near Delaware Aqueduct Shaft 18 to limit shoreline erosion and protect the intake from elevated turbidity levels.,Construction,01/29/2015,05/08/2022
05/2019,This project will provide armoring of the Kensico Reservoir shoreline near Delaware Aqueduct Shaft 18 to limit shoreline erosion and protect the intake from elevated turbidity levels.,Construction,01/29/2015,05/08/2022
09/2019,This project will provide armoring of the Kensico Reservoir shoreline near Delaware Aqueduct Shaft 18 to limit shoreline erosion and protect the intake from elevated turbidity levels.,Construction,01/29/2015,05/08/2022
01/2020,This project will provide armoring of the Kensico Reservoir shoreline near Delaware Aqueduct Shaft 18 to limit shoreline erosion and protect the intake from elevated turbidity levels.,Construction,01/29/2015,05/08/2022
05/2020,This project will provide armoring of the Kensico Reservoir shoreline near Delaware Aqueduct Shaft 18 to limit shoreline erosion and protect the intake from elevated turbidity levels.,Construction,01/29/2015,05/08/2022
10/2020,This project will provide armoring of the Kensico Reservoir shoreline near Delaware Aqueduct Shaft 18 to limit shoreline erosion and protect the intake from elevated turbidity levels.,Construction,01/29/2015,05/09/2022
03/2021,This project will provide armoring of the Kensico Reservoir shoreline near Delaware Aqueduct Shaft 18 to limit shoreline erosion and protect the intake from elevated turbidity levels.,Construction,01/29/2015,05/09/2022
05/2020,This project provides new chemical addition and support facilities at Hillview Reservoir.,Design,03/17/2020,01/23/2029
10/2020,This project provides new chemical addition and support facilities at Hillview Reservoir.,Design,03/17/2020,03/28/2029
03/2021,This project provides new chemical addition and support facilities at Hillview Reservoir.,Design,03/17/2020,03/28/2029
05/2020,This project provides improvements to the existing structures and mechanical flow control systems at Hillview Reservoir.,Design,04/13/2020,06/05/2032
10/2020,This project provides improvements to the existing structures and mechanical flow control systems at Hillview Reservoir.,Design,04/13/2020,06/28/2032
03/2021,This project provides improvements to the existing structures and mechanical flow control systems at Hillview Reservoir.,Design,04/13/2020,01/03/2032
08/2018,SMLP portion for Bowery Bay WWTP as part of the New York City Wastewater Resiliency Program.,Design,03/29/2018,03/08/2021
01/2019,SMLP portion for Bowery Bay WRRF as part of the New York City Wastewater Resiliency Program.,Design,04/30/2018,04/08/2023
05/2019,SMLP portion for Bowery Bay WRRF as part of the New York City Wastewater Resiliency Program.,Design,04/30/2018,10/12/2021
09/2019,SMLP portion for Bowery Bay WRRF as part of the New York City Wastewater Resiliency Program.,Design,04/30/2018,11/16/2021
01/2020,SMLP portion for Bowery Bay WRRF as part of the New York City Wastewater Resiliency Program.,Design,04/30/2018,03/04/2022
05/2020,SMLP portion for Bowery Bay WRRF as part of the New York City Wastewater Resiliency Program.,Construction Procurement,04/30/2018,08/26/2022
10/2020,SMLP portion for Bowery Bay WRRF as part of the New York City Wastewater Resiliency Program.,Construction Procurement,04/30/2018,01/13/2023
03/2021,SMLP portion for Bowery Bay WRRF as part of the New York City Wastewater Resiliency Program.,Construction,04/30/2018,09/01/2022
08/2018,SMLP portion for Hunts Point WWTP as part of the New York City Wastewater Resiliency Program.,Design,04/16/2018,09/09/2020
01/2019,SMLP portion for Hunts Point WRRF as part of the New York City Wastewater Resiliency Program.,Design,04/16/2018,06/08/2021
05/2019,SMLP portion for Hunts Point WRRF as part of the New York City Wastewater Resiliency Program.,Design,04/16/2018,05/26/2021
09/2019,SMLP portion for Hunts Point WRRF as part of the New York City Wastewater Resiliency Program.,Design,04/16/2018,08/16/2021
01/2020,SMLP portion for Hunts Point WRRF as part of the New York City Wastewater Resiliency Program.,Design,04/16/2018,01/05/2022
05/2020,SMLP portion for Hunts Point WRRF as part of the New York City Wastewater Resiliency Program.,Design,04/16/2018,04/25/2022
