Department Name,SubDept Code,SubDept Name,Program Name,Performance Measure Code,Performance Measure Name,Budget
Bureau of Sanitation,82LVL5,Bureau of Sanitation,Watershed Protection,82CATCHBASIN,Number of Catch Basins Cleaned,2017-18 Adopted
Transportation,94LVL5,Transportation,Transportation Infrastructure and Project Delivery,94VALUE,Total Value of Active Projects,2018-19 Adopted
General Services,40LVL5,General Services,Custodial Services,40CLEAN,Percent of Municipal Facilities Cleaned Daily,2017-18 Adopted
General Services,40LVL5,General Services,Custodial Services,40CLEAN,Percent of Municipal Facilities Cleaned Daily,2017-18 Adopted
Board of Public Works,74LVL5,Board of Public Works,Office of Community Beautification,74GRAFFITI-24HRS,Percent of Graffiti Removal Requests Completed in 24 Hours,2018-19 Adopted
Building and Safety,08LVL5,Building and Safety,Grading Reports and Inspection,08GRADEREPORT,Percent of New Grading Reports Completed in 30 Days,2017-18 Adopted
Building and Safety,08LVL5,Building and Safety,Grading Reports and Inspection,08GRADEREPORT,Percent of New Grading Reports Completed in 30 Days,2017-18 Adopted
Cultural Affairs,30LVL5,Cultural Affairs,Community Arts,30ARTFACILITIES,Number of Individuals Served by Arts Facilities and Centers,2018-19 Adopted
Building and Safety,08LVL5,Building and Safety,Green Buildings and Electrical and Mechanical Engineering,08MECHPLANCK,Percent of Mechanical Plan Check Jobs Completed in 15 Days,2017-18 Adopted
Animal Services,06LVL5,Animal Services,Animal Control and Law Enforcement,06LICENSE,Number of Animal Licenses Sold,2019-20 Adopted
Building and Safety,08LVL5,Building and Safety,Green Buildings and Electrical and Mechanical Engineering,08MECHPLANCK,Percent of Mechanical Plan Check Jobs Completed in 15 Days,2017-18 Adopted
Transportation,94LVL5,Transportation,Active Transportation,94BIKELANE,Number of Miles of Bike Lanes and Paths in the City,2018-19 Adopted
Fire,38LVL5,Fire,Fire Prevention,38INSPECTION,Percent of Construction Inspections Completed in 72 hours,2018-19 Adopted
Transportation,94LVL5,Transportation,"Parking Facilities, Meters, and Operations",94METERS,Percent of Time Parking Meters are Functioning Properly,2017-18 Adopted
Transportation,94LVL5,Transportation,"Parking Facilities, Meters, and Operations",94METERS,Percent of Time Parking Meters are Functioning Properly,2017-18 Adopted
Building and Safety,08LVL5,Building and Safety,Structural Plan Checking,08PLANCHECK,Percent of Plan Check Jobs Completed in 15 Days,2018-19 Adopted
City Planning,68LVL5,City Planning,Citywide Planning,68ELEMENT,Number of State Mandated Elements Less Than Eight Years Old,2018-19 Proposed
Library,44LVL5,Library,Central Library Services,44CENTRAL,Number of People Attending Central Library Programs,2018-19 Adopted
Neighborhood Empowerment,47LVL5,Neighborhood Empowerment,Planning and Policy,47CIS,Number of Community Impact Statements Submitted by NCs,2018-19 Proposed
City Planning,68LVL5,City Planning,Major Projects and Project Plan Support,68EIRS,Entitlement Cases Requiring an Environmental Impact Report,2018-19 Adopted
Information Technology Agency,32LVL5,Information Technology Agency,Public Safety Communications,32PSRADIO,Percent of System Availability for LAFD & LAPD Radio Systems,2017-18 Adopted
Information Technology Agency,32LVL5,Information Technology Agency,Public Safety Communications,32PSRADIO,Percent of System Availability for LAFD & LAPD Radio Systems,2017-18 Adopted
Neighborhood Empowerment,47LVL5,Neighborhood Empowerment,Neighborhood Council System Development,47SUPPORT,Percentage of Staffed Neighborhood Council Meetings,2018-19 Adopted
City Clerk,14LVL5,City Clerk,Records Management,14ARCHIVAL,Number of Archival Documents and Records Digitized on Demand,2018-19 Adopted
Bureau of Engineering,78LVL5,Bureau of Engineering,Mobility,78MOBILITY,Number of Completed Mobility Capital Projects,2018-19 Adopted
Building and Safety,08LVL5,Building and Safety,Residential Inspection,08RESINSPECT,Percent of Residential Inspections Completed in 24 Hours,2018-19 Adopted
Information Technology Agency,32LVL5,Information Technology Agency,Network Engineering and Operations,32VOICE,"Percent of Voice, Call Center, & Video Systems Availability",2018-19 Adopted
General Services,40LVL5,General Services,Fuel and Environmental Compliance,40FUELSITE,Percent of City-Owned Fuel Sites Inspected Monthly,2018-19 Proposed
Convention and Tourism Development,48LVL5,Convention and Tourism Development,Convention and Tourism Development,48LEISUREJOBS,Number of Leisure and Hospitality Jobs in Los Angeles County,2018-19 Adopted
General Services,40LVL5,General Services,Mail Services,40POSTAGE,Postage Savings Derived from the Mail Automation Program,2018-19 Adopted
Recreation and Parks,88LVL5,Recreation and Parks,Aquatics,88AQUATIC,Total Attendance at City Aquatic Facilities,2018-19 Proposed
Bureau of Sanitation,82LVL5,Bureau of Sanitation,Solid Resources,82RECYCLING,Citywide Landfill Diversion Rate,2018-19 Adopted
Police,70LVL5,Police,Field Forces,70CRIME,Total Number of Crime Incidents,2017-18 Adopted
Police,70LVL5,Police,Field Forces,70CRIME,Total Number of Crime Incidents,2017-18 Adopted
Building and Safety,08LVL5,Building and Safety,Green Buildings and Electrical and Mechanical Engineering,08MECHPLANCK,Percent of Mechanical Plan Check Jobs Completed in 15 Days,2018-19 Adopted
Bureau of Engineering,78LVL5,Bureau of Engineering,Development Services and Permits,78APERMIT,Percent of A Permits Issued within 60 Minutes,2018-19 Proposed
Recreation and Parks,88LVL5,Recreation and Parks,Public Safety,88SAFE,Percent of Visitors Feeling 'Safe' or 'Very Safe',2018-19 Adopted
Recreation and Parks,88LVL5,Recreation and Parks,City Services,88SNLPARTICIPANTS,Number of Summer Night Lights Participants,2017-18 Adopted
Recreation and Parks,88LVL5,Recreation and Parks,City Services,88SNLPARTICIPANTS,Number of Summer Night Lights Participants,2017-18 Adopted
Finance,39LVL5,Finance,Revenue Management,39COLLECTION,Percent of Delinquent Accounts Collected,2018-19 Adopted
Bureau of Engineering,78LVL5,Bureau of Engineering,Mobility,78MOBILITY,Number of Completed Mobility Capital Projects,2017-18 Adopted
Bureau of Engineering,78LVL5,Bureau of Engineering,Mobility,78MOBILITY,Number of Completed Mobility Capital Projects,2017-18 Adopted
Housing and Community Investment,43LVL5,Housing and Community Investment,Development and Finance,43AFFORDABLE,Affordable Housing Units Completed,2018-19 Proposed
Aging,02LVL5,Aging,Older Workers Program,02OLDERWORKER,Number of Participants in the Older Workers Program,2018-19 Proposed
Personnel,66LVL5,Personnel,Equal Employment Opportunity,66EEOCOMPLAIN,Percent of Complainants Contacted Within 10 Days,2018-19 Proposed
Emergency Management,35LVL5,Emergency Management,Emergency Management,35NOTIFYLA,Number of New Subscribers Registered for NotifyLA,2018-19 Adopted
Personnel,66LVL5,Personnel,Employee Benefits,66VANPOOL,Percent Increase in Vanpool Participants,2018-19 Proposed
City Planning,68LVL5,City Planning,Development Services,68CUSTOMER,Annual Number of Customers Served,2018-19 Adopted
Housing and Community Investment,43LVL5,Housing and Community Investment,Development and Finance,43AFFORDABLE,Affordable Housing Units Completed,2018-19 Adopted
Recreation and Parks,88LVL5,Recreation and Parks,Capital Projects and Planning,88WALKABLEPARK,Additional Residents Served by Park within Walking Distance,2017-18 Adopted
Recreation and Parks,88LVL5,Recreation and Parks,Capital Projects and Planning,88WALKABLEPARK,Additional Residents Served by Park within Walking Distance,2017-18 Adopted
Building and Safety,08LVL5,Building and Safety,Conservation of Existing Structures and Mechanical Devices,08RESPROPERTY,Percent of Residential Property Reports Completed in 15 Days,2017-18 Adopted
Building and Safety,08LVL5,Building and Safety,Conservation of Existing Structures and Mechanical Devices,08RESPROPERTY,Percent of Residential Property Reports Completed in 15 Days,2017-18 Adopted
Information Technology Agency,32LVL5,Information Technology Agency,Public Safety Systems Development and Support,32PSSYSTEMS,Percent of System Availability for Public Safety Systems,2017-18 Adopted
Information Technology Agency,32LVL5,Information Technology Agency,Public Safety Systems Development and Support,32PSSYSTEMS,Percent of System Availability for Public Safety Systems,2017-18 Adopted
Building and Safety,08LVL5,Building and Safety,Structural Plan Checking,08PLANCHECK,Percent of Plan Check Jobs Completed in 15 Days,2018-19 Proposed
Cultural Affairs,30LVL5,Cultural Affairs,Marketing and Development,30LEVERAGED,Donations Received as a Percent of DCA Operating Budget,2018-19 Proposed
General Services,40LVL5,General Services,Custodial Services,40CLEAN,Percent of Municipal Facilities Cleaned Daily,2018-19 Proposed
Library,44LVL5,Library,Central Library Services,44CENTRAL,Number of People Attending Central Library Programs,2017-18 Adopted
Library,44LVL5,Library,Central Library Services,44CENTRAL,Number of People Attending Central Library Programs,2017-18 Adopted
Bureau of Contract Administration,76LVL5,Bureau of Contract Administration,Construction Inspection,76RETENTION,Number of Days for Final Retention Requests to be Processed,2017-18 Adopted
Bureau of Contract Administration,76LVL5,Bureau of Contract Administration,Construction Inspection,76RETENTION,Number of Days for Final Retention Requests to be Processed,2017-18 Adopted
Police,70LVL5,Police,Traffic Control,70HITRUN,Number of Traffic Hit and Run Collisions,2018-19 Proposed
Housing and Community Investment,43LVL5,Housing and Community Investment,Finance and Development,43AFFORDABLE,Affordable Housing Units Completed,2017-18 Adopted
Housing and Community Investment,43LVL5,Housing and Community Investment,Finance and Development,43AFFORDABLE,Affordable Housing Units Completed,2017-18 Adopted
Police,70LVL5,Police,Traffic Control,70HITRUN,Number of Traffic Hit and Run Collisions,2017-18 Adopted
Police,70LVL5,Police,Traffic Control,70HITRUN,Number of Traffic Hit and Run Collisions,2017-18 Adopted
Bureau of Street Services,86LVL5,Bureau of Street Services,Street Tree and Parkway Maintenance,86TREELIMB,Average Working Days to Complete Tree Emergencies,2018-19 Proposed
Animal Services,06LVL5,Animal Services,Shelter Operations and Animal Care,06LIVESAVE,Animal Live/Save Rate,2018-19 Adopted
City Clerk,14LVL5,City Clerk,Records Management,14ARCHIVAL,Number of Archival Documents and Records Digitized on Demand,2017-18 Adopted
City Clerk,14LVL5,City Clerk,Records Management,14ARCHIVAL,Number of Archival Documents and Records Digitized on Demand,2017-18 Adopted
Cultural Affairs,30LVL5,Cultural Affairs,Public Art,30ARTPROJECTS,Number of Public Art Projects Completed During the Year,2017-18 Adopted
Cultural Affairs,30LVL5,Cultural Affairs,Public Art,30ARTPROJECTS,Number of Public Art Projects Completed During the Year,2017-18 Adopted
General Services,40LVL5,General Services,Supply Management,40POS,"Number of Days to Process Purchase Orders under $100,000",2018-19 Proposed
El Pueblo de Los Angeles,33LVL5,El Pueblo de Los Angeles,Property Management,33PERCENTWO,Percent of Work Orders Completed,2018-19 Proposed
Board of Public Works,74LVL5,Board of Public Works,Public Works Accounting,74PAYMENTS,Percentage of All Payments Processed within 30 Days,2018-19 Adopted
General Services,40LVL5,General Services,Parking Services,40PARKINGREV,Revenue from Department-Operated Parking Facilities,2018-19 Adopted
Bureau of Engineering,78LVL5,Bureau of Engineering,Public Buildings and Open Spaces,78BUILDING,Number of Completed Building & Open Spaces Capital Projects,2018-19 Adopted
Building and Safety,08LVL5,Building and Safety,Residential and Commercial Code Enforcement,08COMPLAINT,Percent of Code Enforcement Complaints Closed in 60 Days,2018-19 Proposed
Housing and Community Investment,43LVL5,Housing and Community Investment,Program Operations,43DVVICTIM,Number of Domestic Violence Victims Served through Program,2018-19 Proposed
General Services,40LVL5,General Services,Fleet Services,40BOSVEHICLES,Vehicle Availability Rate for Bureau of Sanitation,2018-19 Adopted
Aging,02LVL5,Aging,Family Caregiver Services,02CAREGIVER,Number of Participants in Caregiver Information Sessions,2018-19 Adopted
Controller,26LVL5,Controller,Support of the City's Financial Systems,26FMSDOCUMENTS,Number of FMS Documents Processed Annually,2017-18 Adopted
Controller,26LVL5,Controller,Support of the City's Financial Systems,26FMSDOCUMENTS,Number of FMS Documents Processed Annually,2017-18 Adopted
Transportation,94LVL5,Transportation,Streets and Sign Management,94SIGN,Number of Sign Maintenance & Installation Projects Completed,2017-18 Adopted
Transportation,94LVL5,Transportation,Streets and Sign Management,94SIGN,Number of Sign Maintenance & Installation Projects Completed,2017-18 Adopted
Animal Services,06LVL5,Animal Services,Community Engagement and Partnerships,06VOLUNTEER,Number of Volunteer Hours,2018-19 Proposed
Transportation,94LVL5,Transportation,District Offices,94SERVICE,Number of Service Requests Closed,2018-19 Proposed
Zoo,87LVL5,Zoo,Animal Health Care,87HEALTH,Number of Animal Preventative Health Exams Conducted,2017-18 Adopted
Zoo,87LVL5,Zoo,Animal Health Care,87HEALTH,Number of Animal Preventative Health Exams Conducted,2017-18 Adopted
Information Technology Agency,32LVL5,Information Technology Agency,Customer Engagement,32311CALLS,Percent of 3-1-1 Calls Answered,2017-18 Adopted
Information Technology Agency,32LVL5,Information Technology Agency,Customer Engagement,32311CALLS,Percent of 3-1-1 Calls Answered,2017-18 Adopted
Transportation,94LVL5,Transportation,Emergency Management and Special Events,94EVENTS,Number of Special Events Requiring Traffic Engineering,2017-18 Adopted
Transportation,94LVL5,Transportation,Emergency Management and Special Events,94EVENTS,Number of Special Events Requiring Traffic Engineering,2017-18 Adopted
Zoo,87LVL5,Zoo,Animal General Care,87EXHIBIT,Percent of Animal Exhibits in Operation,2017-18 Adopted
Zoo,87LVL5,Zoo,Animal General Care,87EXHIBIT,Percent of Animal Exhibits in Operation,2017-18 Adopted
Information Technology Agency,32LVL5,Information Technology Agency,Business Applications and Web Services,32WEBSITE,Percent of LACity.org Website Availability,2017-18 Adopted
Information Technology Agency,32LVL5,Information Technology Agency,Business Applications and Web Services,32WEBSITE,Percent of LACity.org Website Availability,2017-18 Adopted
City Clerk,14LVL5,City Clerk,Council and Public Services,14CITYRECORDS,Number of City Records Viewed,2017-18 Adopted
City Clerk,14LVL5,City Clerk,Council and Public Services,14CITYRECORDS,Number of City Records Viewed,2017-18 Adopted
Fire,38LVL5,Fire,Arson Investigation and Counter-Terrorism,38INVESTIGATION,Percentage Convictions in Arson Cases,2018-19 Proposed
Housing and Community Investment,43LVL5,Housing and Community Investment,Rent Stabilization,43TENANT,Percent of Tenant Rent Complaints Resolved Within 120 Days,2018-19 Adopted
Personnel,66LVL5,Personnel,Equal Employment Opportunity,66EEOCOMPLAIN,Percent of Complainants Contacted Within 10 Days,2018-19 Adopted
